"";"Nome";"Nome_mae";"DT_NASC";"Banco_nome";"Teste_X";"Teste_Y"
"74";"Country Trujillo";"Viridiana";2000-01-22;"Banco_1";"X";"Y"
"75";"Gerardo Aragon";"Blanca";2000-01-01;"Banco_1";"X";"Y"
"76";"Cristian Taboada";"Brenda";2000-01-09;"Banco_1";"X";"Y"
"77";"Brandy Sotelo";"Brandy";2000-01-30;"Banco_1";"X";"Y"
"78";"Robert Moctezuma";"Sarah";2000-01-02;"Banco_1";"X";"Y"
"79";"Josie Rogers";"Soledad";2000-01-16;"Banco_1";"X";"Y"
"80";"Lorenzo Roman";"Danielle";2000-01-20;"Banco_1";"X";"Y"
"81";"Robert Montelongo";"Isela";2000-01-27;"Banco_1";"X";"Y"
"82";"Pricilla Vigil";"Alicia";2000-01-17;"Banco_1";"X";"Y"
"83";"America Medina";"Jasmine";2000-01-28;"Banco_1";"X";"Y"
"84";"Bryan Castro";"Xan";2000-01-22;"Banco_1";"X";"Y"
"85";"Alejandro Mayo";"Juana";2000-01-01;"Banco_1";"X";"Y"
"86";"Lauray Loya";"Brenda";2000-01-09;"Banco_1";"X";"Y"
"87";"Ivan Espinoza";"Mariah";2000-01-30;"Banco_1";"X";"Y"
"88";"Desiree Mcgee";"Monica";2000-01-02;"Banco_1";"X";"Y"
"89";"Galilea Urenda";"Cecilia";2000-01-16;"Banco_1";"X";"Y"
"90";"Cody Villarreal";"Jaqueline";2000-01-20;"Banco_1";"X";"Y"
"91";"Juliana Sanchez";"Hannah";2000-01-27;"Banco_1";"X";"Y"
"92";"Esai Munoz";"Brenda";2000-01-17;"Banco_1";"X";"Y"
"93";"Alaizja Garcia";"Qailynne";2000-01-28;"Banco_1";"X";"Y"
"94";"Josie Valdez";"Rocio";2000-01-22;"Banco_1";"X";"Y"
"95";"Violet Pena";"Abigail";2000-01-01;"Banco_1";"X";"Y"
"96";"Trystan Quinones";"Serease";2000-01-09;"Banco_1";"X";"Y"
"97";"Ryan Morales Ruiz";"Vanessa";2000-01-30;"Banco_1";"X";"Y"
"98";"Marcos Lemus Salazar";"Marissa";2000-01-02;"Banco_1";"X";"Y"
"99";"Lily Ramirez";"Carolyn";2000-01-16;"Banco_1";"X";"Y"
"100";"Cameron Salinas";"Alyssa";2000-01-20;"Banco_1";"X";"Y"
"101";"Eduardo Trujillo";"Maria";2000-01-27;"Banco_1";"X";"Y"
"102";"Paige Rivera";"Ruth";2000-01-17;"Banco_1";"X";"Y"
"103";"Alyssa Mirabal";"Berenisse";2000-01-28;"Banco_1";"X";"Y"
"104";"Isaac Bernal";"Adriana";2000-01-22;"Banco_1";"X";"Y"
"105";"Vincent Santos";"Karen";2000-01-01;"Banco_1";"X";"Y"
"106";"Zoe Sanchez Pena";"Vanessa";2000-01-09;"Banco_1";"X";"Y"
"107";"Cesar Leon";"Melissa";2000-01-30;"Banco_1";"X";"Y"
"108";"Juliette Resendez";"Roxanne";2000-01-02;"Banco_1";"X";"Y"
"109";"Maria Alvarenga";"Amber";2000-01-16;"Banco_1";"X";"Y"
"110";"Karina Tercero Chavez";"Juliana";2000-01-20;"Banco_1";"X";"Y"
"111";"Miriam Macias Munoz";"Vanessa";2000-01-27;"Banco_1";"X";"Y"
"112";"Anselmo Ibarra";"Adriana";2000-01-17;"Banco_1";"X";"Y"
"113";"Diana Martinez";"Crystal";2000-01-28;"Banco_1";"X";"Y"
"114";"Christian Valadez Guerra";"Yolanda";2000-01-22;"Banco_1";"X";"Y"
"115";"Mireli Lopez";"Krystal";2000-01-01;"Banco_1";"X";"Y"
"116";"Dominic Gutierrez";"Abilene";2000-01-09;"Banco_1";"X";"Y"
"117";"David Morales Aragon";"Diana";2000-01-30;"Banco_1";"X";"Y"
"118";"Salvador Gaylord";"Ma Esther";2000-01-02;"Banco_1";"X";"Y"
"119";"Stephanie Pavicich";"Alexandra";2000-01-16;"Banco_1";"X";"Y"
"120";"Diana Martz";"Desire";2000-01-20;"Banco_1";"X";"Y"
"121";"Raquel Martinez";"Brenda";2000-01-27;"Banco_1";"X";"Y"
"122";"Victor Alarid";"Bria";2000-01-17;"Banco_1";"X";"Y"
"123";"Veronica Garcia";"Monica";2000-01-28;"Banco_1";"X";"Y"
"124";"Natasha Hernandez";"Mirna";2000-01-22;"Banco_1";"X";"Y"
"125";"Erika Garcia";"Claudia";2000-01-01;"Banco_1";"X";"Y"
"126";"Caleb Jimenez";"Talia";2000-01-09;"Banco_1";"X";"Y"
"127";"Armando Castaneda Hernandez";"Ruth";2000-01-30;"Banco_1";"X";"Y"
"128";"Alan Juan";"Jenna";2000-01-02;"Banco_1";"X";"Y"
"129";"Rodolfo Naranjo";"Cindy";2000-01-16;"Banco_1";"X";"Y"
"130";"Andrea Rodriguez Nazario";"Veronica";2000-01-20;"Banco_1";"X";"Y"
"131";"Dominic Godoy Fewell";"Janae";2000-01-27;"Banco_1";"X";"Y"
"132";"Mariah Vialpando";"Liset";2000-01-17;"Banco_1";"X";"Y"
"133";"Hannah Covarrubias Gonzalez";"Elandra";2000-01-28;"Banco_1";"X";"Y"
"134";"Sandra Nunez";"Clarissa";2000-01-22;"Banco_1";"X";"Y"
"135";"Sheldon Olvera";"Karen";2000-01-01;"Banco_1";"X";"Y"
"136";"Samuel Ramon Herrera";"Sativa";2000-01-09;"Banco_1";"X";"Y"
"137";"Lupe Castro";"Zenia";2000-01-30;"Banco_1";"X";"Y"
"138";"Sergio Sandoval Veliz";"Kiara";2000-01-02;"Banco_1";"X";"Y"
"139";"Sergio Gutierrez";"Emily";2000-01-16;"Banco_1";"X";"Y"
"140";"Valeria Medina";"Devyn";2000-01-20;"Banco_1";"X";"Y"
"141";"Devany Ceballos";"Christina";2000-01-27;"Banco_1";"X";"Y"
"142";"Manuel Deleon";"Yadira";2000-01-17;"Banco_1";"X";"Y"
"143";"Jackeline Robles";"Alejandra";2000-01-28;"Banco_1";"X";"Y"
"144";"Cristal Caro";"Monique";2000-01-22;"Banco_1";"X";"Y"
"145";"Edgar Ramirez";"Janet";2000-01-01;"Banco_1";"X";"Y"
"146";"David Prieto";"Bobbi";2000-01-09;"Banco_1";"X";"Y"
"147";"Victor Lopez";"Nicole";2000-01-30;"Banco_1";"X";"Y"
"148";"Jovana Trujillo";"Vanessa";2000-01-02;"Banco_1";"X";"Y"
"149";"Chad Vela";"Victoria";2000-01-16;"Banco_1";"X";"Y"
"150";"Jacob Perez";"Cecilia";2000-01-20;"Banco_1";"X";"Y"
"151";"Luis Martinez";"Liliana";2000-01-27;"Banco_1";"X";"Y"
"152";"Sandra Rodriguez";"Arely";2000-01-17;"Banco_1";"X";"Y"
"153";"Gregorio Guardado";"Brandie";2000-01-28;"Banco_1";"X";"Y"
"154";"Patrick Hernandez";"Alma";2000-01-22;"Banco_1";"X";"Y"
"155";"Marcus Duran";"Katrina";2000-01-01;"Banco_1";"X";"Y"
"156";"James Erives";"Koraima";2000-01-09;"Banco_1";"X";"Y"
"157";"Sunnyrae Hernandez";"Maria";2000-01-30;"Banco_1";"X";"Y"
"158";"Daniella Jaramillo";"Yintiatziri";2000-01-02;"Banco_1";"X";"Y"
"159";"Monique Luna";"Sonia";2000-01-16;"Banco_1";"X";"Y"
"160";"Analy Solis";"Sharayah";2000-01-20;"Banco_1";"X";"Y"
"161";"Robert May";"Dominique";2000-01-27;"Banco_1";"X";"Y"
"162";"Junior Molina";"Angel";2000-01-17;"Banco_1";"X";"Y"
"163";"Prudence Martinez";"Rubi";2000-01-28;"Banco_1";"X";"Y"
"164";"Victor Alaniz Sanchez";"Karissa";2000-01-22;"Banco_1";"X";"Y"
"165";"Briceyda Corral";"Karen";2000-01-01;"Banco_1";"X";"Y"
"166";"Aurora Ramirez";"Airel";2000-01-09;"Banco_1";"X";"Y"
"167";"Marcos Vigil";"Hannah";2000-01-30;"Banco_1";"X";"Y"
"168";"Daniel Tobar";"Aisha";2000-01-02;"Banco_1";"X";"Y"
"169";"Veronica Rubio";"Elaine";2000-01-16;"Banco_1";"X";"Y"
"170";"Jermaine Meraz Rodriguez";"Ruby";2000-01-20;"Banco_1";"X";"Y"
"171";"Leovardo Malpica";"Karla";2000-01-27;"Banco_1";"X";"Y"
"172";"Cody Deleon";"Kylie";2000-01-17;"Banco_1";"X";"Y"
"173";"Virdiana Jaramillo";"Flor";2000-01-28;"Banco_1";"X";"Y"
"174";"Ariana Oliver";"Marium";2000-01-22;"Banco_1";"X";"Y"
"175";"Shanoa Ramirez Camacho";"Ashley";2000-01-01;"Banco_1";"X";"Y"
"176";"Leovardo Mota";"Gabriela";2000-01-09;"Banco_1";"X";"Y"
"177";"Jeriah Iniguez";"Avelina";2000-01-30;"Banco_1";"X";"Y"
"178";"Jessica Chavez";"Cristal";2000-01-02;"Banco_1";"X";"Y"
"179";"Jeremiah Zamora";"Jazmend";2000-01-16;"Banco_1";"X";"Y"
"180";"Jessica Cerna Sanchez";"Marissa";2000-01-20;"Banco_1";"X";"Y"
"181";"Sean Carrillo";"Aurora";2000-01-27;"Banco_1";"X";"Y"
"182";"Jordan Lobato";"Zayra";2000-01-17;"Banco_1";"X";"Y"
"183";"Liliana Navarro";"Sierra";2000-01-28;"Banco_1";"X";"Y"
"184";"Monserrath Neiberger";"Rocio";2000-01-22;"Banco_1";"X";"Y"
"185";"Gabriel Archuleta";"Isamar";2000-01-01;"Banco_1";"X";"Y"
"186";"Meagan Fuentes";"Savannah";2000-01-09;"Banco_1";"X";"Y"
"187";"Zachary Blanco";"Josephine";2000-01-30;"Banco_1";"X";"Y"
"188";"Jordan Garcia";"Selene";2000-01-02;"Banco_1";"X";"Y"
"189";"Eric Quintana Vargas";"Sofia";2000-01-16;"Banco_1";"X";"Y"
"190";"Selina Florez";"Claudia";2000-01-20;"Banco_1";"X";"Y"
"191";"Greg Cervantes";"Laura";2000-01-27;"Banco_1";"X";"Y"
"192";"Anjel Fernandez Martinez";"Tia";2000-01-17;"Banco_1";"X";"Y"
"193";"Itzel Villa Robles";"Stephanie";2000-01-28;"Banco_1";"X";"Y"
"194";"Isaiah Marmolejo";"Mia";2000-01-22;"Banco_1";"X";"Y"
"195";"Alyssa Arriaga";"Jamie";2000-01-01;"Banco_1";"X";"Y"
"196";"Isaac Suarez";"Daniela";2000-01-09;"Banco_1";"X";"Y"
"197";"Andrew Vidales";"Alexandria";2000-01-30;"Banco_1";"X";"Y"
"198";"Jose Hickman";"Mary";2000-01-02;"Banco_1";"X";"Y"
"199";"Stephanie Carmona";"Jennifer";2000-01-16;"Banco_1";"X";"Y"
"200";"Lucero Ledezma";"Jasmine";2000-01-20;"Banco_1";"X";"Y"
"201";"Perla Rodriguez";"Melissa";2000-01-27;"Banco_1";"X";"Y"
"202";"Jocelyn Enriquez";"Maria";2000-01-17;"Banco_1";"X";"Y"
"203";"Roxanne Arredondo";"Marissa";2000-01-28;"Banco_1";"X";"Y"
"204";"Jonathan Astorga";"Sylvia";2000-01-22;"Banco_1";"X";"Y"
"205";"Michael Banuelos";"Jade";2000-01-01;"Banco_1";"X";"Y"
"206";"Avid Solano";"Dagma";2000-01-09;"Banco_1";"X";"Y"
"207";"Mayra Mendoza";"Arica";2000-01-30;"Banco_1";"X";"Y"
"208";"Yessica Nothem";"Adriana";2000-01-02;"Banco_1";"X";"Y"
"209";"Rachel Ramirez Erives";"Vivian";2000-01-16;"Banco_1";"X";"Y"
"210";"Melissa Oquendo Mejia";"Jazmin";2000-01-20;"Banco_1";"X";"Y"
"211";"Carla Rangel";"Javonna";2000-01-27;"Banco_1";"X";"Y"
"212";"Christian Maya";"Mercedes";2000-01-17;"Banco_1";"X";"Y"
"213";"Carly Melendez";"Carla";2000-01-28;"Banco_1";"X";"Y"
"214";"America Cereceres";"Kenia";2000-01-22;"Banco_1";"X";"Y"
"215";"Hannah Le Febre Quintana";"Brittany";2000-01-01;"Banco_1";"X";"Y"
"216";"Querina Leon";"Kaitlyn";2000-01-09;"Banco_1";"X";"Y"
"217";"Micah Hernandez Franco";"Gloria";2000-01-30;"Banco_1";"X";"Y"
"218";"Jeremiah Fontes Gonzalez";"Mayra";2000-01-02;"Banco_1";"X";"Y"
"219";"Devanny Cruz Medel";"Diana";2000-01-16;"Banco_1";"X";"Y"
"220";"Giovanna Medrano";"Ieshia";2000-01-20;"Banco_1";"X";"Y"
"221";"Angel Miranda";"Erica";2000-01-27;"Banco_1";"X";"Y"
"222";"Luis Keiderling";"Elicia";2000-01-17;"Banco_1";"X";"Y"
"223";"David Ortiz";"Rachel";2000-01-28;"Banco_1";"X";"Y"
"224";"Gabriela Pena Alvarado";"Angelina";2000-01-22;"Banco_1";"X";"Y"
"225";"Dominique Guadarrama Rodriguez";"Alma";2000-01-01;"Banco_1";"X";"Y"
"226";"Victor Almendarez";"Norma";2000-01-09;"Banco_1";"X";"Y"
"227";"Ivan Azueta";"Fabiana";2000-01-30;"Banco_1";"X";"Y"
"228";"Arianna Valdespino";"Joseline";2000-01-02;"Banco_1";"X";"Y"
"229";"Tiarra Vigil";"Jolene";2000-01-16;"Banco_1";"X";"Y"
"230";"Ricardo Martinez Barrientos";"Kattia";2000-01-20;"Banco_1";"X";"Y"
"231";"Francisco Garcia";"Devan";2000-01-27;"Banco_1";"X";"Y"
"232";"Amber Tellez";"Yamilex";2000-01-17;"Banco_1";"X";"Y"
"233";"Jaylene Martinez";"Mea";2000-01-28;"Banco_1";"X";"Y"
"234";"Jaquelin Centeno";"Brea";2000-01-22;"Banco_1";"X";"Y"
"235";"Alejandro Jimenez";"Talia";2000-01-01;"Banco_1";"X";"Y"
"236";"Cameron Garcia";"Miriah";2000-01-09;"Banco_1";"X";"Y"
"237";"Erik Montoya";"Taylor";2000-01-30;"Banco_1";"X";"Y"
"238";"Leslie Perez";"Jennifer";2000-01-02;"Banco_1";"X";"Y"
"239";"Lucia Romero";"Alexia";2000-01-16;"Banco_1";"X";"Y"
"240";"Angelica Cabrera";"Teresa";2000-01-20;"Banco_1";"X";"Y"
"241";"Erika Rodriguez";"Ivette";2000-01-27;"Banco_1";"X";"Y"
"242";"Carmen Lira";"Mikaela";2000-01-17;"Banco_1";"X";"Y"
"243";"Xavier Pisqui";"Brianna";2000-01-28;"Banco_1";"X";"Y"
"244";"Joezette Coss";"Carmen";2000-01-22;"Banco_1";"X";"Y"
"245";"Christopher Cortez";"Allyson";2000-01-01;"Banco_1";"X";"Y"
"246";"Makayla Alvarado";"Yvonne";2000-01-09;"Banco_1";"X";"Y"
"247";"Paulet Chavez";"Jahieda";2000-01-30;"Banco_1";"X";"Y"
"248";"Patrick Rodriguez";"Tylere";2000-01-02;"Banco_1";"X";"Y"
"249";"Brittnie Lopez";"Jaret";2000-01-16;"Banco_1";"X";"Y"
"250";"Tevin Gonzales";"Erika";2000-01-20;"Banco_1";"X";"Y"
"251";"Diego Balderas";"Kayla";2000-01-27;"Banco_1";"X";"Y"
"252";"Elizabeth Hulett";"Zayra";2000-01-17;"Banco_1";"X";"Y"
"253";"Alexandra Obee";"Jovon";2000-01-28;"Banco_1";"X";"Y"
"254";"Bradie Martinez";"Viridiana";2000-01-22;"Banco_1";"X";"Y"
"255";"Azlan Zarate";"Aketzali";2000-01-01;"Banco_1";"X";"Y"
"256";"Alyssa Vargas Soto";"Dominique";2000-01-09;"Banco_1";"X";"Y"
"257";"Jayden Lujan";"Alondra";2000-01-30;"Banco_1";"X";"Y"
"258";"Brenda Garcia";"Raena";2000-01-02;"Banco_1";"X";"Y"
"259";"Estela Quiroz Guadarrama";"Stephany";2000-01-16;"Banco_1";"X";"Y"
"260";"Lexus Vazquez";"Lauren";2000-01-20;"Banco_1";"X";"Y"
"261";"Christopher Arredondo";"Vanessa";2000-01-27;"Banco_1";"X";"Y"
"262";"David Palacios";"Marissa";2000-01-17;"Banco_1";"X";"Y"
"263";"Corinne Ciddio";"Justinea";2000-01-28;"Banco_1";"X";"Y"
"264";"Anfernie Lopez";"Felicia";2000-01-22;"Banco_1";"X";"Y"
"265";"Cristina Luna";"Danielle";2000-01-01;"Banco_1";"X";"Y"
"266";"Raul Enrique";"Brandi";2000-01-09;"Banco_1";"X";"Y"
"267";"Sandi Hernandez Trevino";"Brianna";2000-01-30;"Banco_1";"X";"Y"
"268";"Claudia Chavez";"Emilia";2000-01-02;"Banco_1";"X";"Y"
"269";"Dominic Trujillo";"Patricia";2000-01-16;"Banco_1";"X";"Y"
"270";"Veronica Roybal";"Claudia";2000-01-20;"Banco_1";"X";"Y"
"271";"Daniel Townsend";"Kanani";2000-01-27;"Banco_1";"X";"Y"
"272";"Rebecca Ochoa";"Mayra";2000-01-17;"Banco_1";"X";"Y"
"273";"Gabriela Orona";"Candice";2000-01-28;"Banco_1";"X";"Y"
"274";"Ciara Campos";"Melissa";2000-01-22;"Banco_1";"X";"Y"
"275";"Francisco Arguello";"Savannah";2000-01-01;"Banco_1";"X";"Y"
"276";"Jonathan Cabrera Torres";"Sandra";2000-01-09;"Banco_1";"X";"Y"
"277";"Karlos Ledezma";"Lizbet";2000-01-30;"Banco_1";"X";"Y"
"278";"Craig Ortega";"Paula";2000-01-02;"Banco_1";"X";"Y"
"279";"Aldo Vigil";"Andrea";2000-01-16;"Banco_1";"X";"Y"
"280";"Alicia Herrera";"Alexandra";2000-01-20;"Banco_1";"X";"Y"
"281";"Brandon Gonzales";"Isidra";2000-01-27;"Banco_1";"X";"Y"
"282";"Viridiana Rodriguez Avitia";"Gloria";2000-01-17;"Banco_1";"X";"Y"
"283";"Latisha Barda";"Carina";2000-01-28;"Banco_1";"X";"Y"
"284";"Brianna Minjarez";"Ashley";2000-01-22;"Banco_1";"X";"Y"
"285";"Gloria Montano Maldonado";"Lauren";2000-01-01;"Banco_1";"X";"Y"
"286";"Alexander Whalen";"Jasmine";2000-01-09;"Banco_1";"X";"Y"
"287";"Samantha Alvarez";"Kahla";2000-01-30;"Banco_1";"X";"Y"
"288";"Isabel Romero";"Samantha";2000-01-02;"Banco_1";"X";"Y"
"289";"Jesus Garcia";"Ashlyn";2000-01-16;"Banco_1";"X";"Y"
"290";"Travis Bermudez Martinez";"Leslie";2000-01-20;"Banco_1";"X";"Y"
"291";"Kayla Espinoza";"Alexandra";2000-01-27;"Banco_1";"X";"Y"
"292";"Sean Esquibel";"Sarah";2000-01-17;"Banco_1";"X";"Y"
"293";"Luciano Santos";"Shae";2000-01-28;"Banco_1";"X";"Y"
"294";"Xavier Castillo";"Ivonne";2000-01-22;"Banco_1";"X";"Y"
"295";"Luis Anaya Chavez";"Veronica";2000-01-01;"Banco_1";"X";"Y"
"296";"Cinthia Martinez";"Ana";2000-01-09;"Banco_1";"X";"Y"
"297";"Adrian Mascarenas";"Leana";2000-01-30;"Banco_1";"X";"Y"
"298";"Henry Castorena";"Janette";2000-01-02;"Banco_1";"X";"Y"
"299";"Vincent Castor";"Kayla";2000-01-16;"Banco_1";"X";"Y"
"300";"Ana Casaus";"Janet";2000-01-20;"Banco_1";"X";"Y"
"301";"Jovan Lopez";"Deidra";2000-01-27;"Banco_1";"X";"Y"
"302";"D'Anthony Acuna";"Aurelia";2000-01-17;"Banco_1";"X";"Y"
"303";"Omar Martinez";"Eilin";2000-01-28;"Banco_1";"X";"Y"
"304";"Luis Soli";"Frances";2000-01-22;"Banco_1";"X";"Y"
"305";"Luis Pacheco";"Danielle";2000-01-01;"Banco_1";"X";"Y"
"306";"Linda Baker";"Bryanna";2000-01-09;"Banco_1";"X";"Y"
"307";"Mario Ibarra";"Mariah";2000-01-30;"Banco_1";"X";"Y"
"308";"Karina Garcia";"Anissa";2000-01-02;"Banco_1";"X";"Y"
"309";"Christopher Pruneda";"Nicole";2000-01-16;"Banco_1";"X";"Y"
"310";"Maria Alvarado";"Gianna";2000-01-20;"Banco_1";"X";"Y"
"311";"Emilio Cantu";"Briana";2000-01-27;"Banco_1";"X";"Y"
"312";"Marissa Lovato";"Sara";2000-01-17;"Banco_1";"X";"Y"
"313";"Augustina Valerio";"Tyra";2000-01-28;"Banco_1";"X";"Y"
"314";"Jose Castaneda";"Maria";2000-01-22;"Banco_1";"X";"Y"
"315";"Cesar Chacon";"Angelica";2000-01-01;"Banco_1";"X";"Y"
"316";"Suzy Lerma";"Elilma";2000-01-09;"Banco_1";"X";"Y"
"317";"Osvaldo Bonilla";"Vanessa";2000-01-30;"Banco_1";"X";"Y"
"318";"Jazmin Velazquez";"Kelsey";2000-01-02;"Banco_1";"X";"Y"
"319";"Alba Chavez";"Jessica";2000-01-16;"Banco_1";"X";"Y"
"320";"Jose Sanchez";"Joely";2000-01-20;"Banco_1";"X";"Y"
"321";"Matthew Gonzales";"Melissa";2000-01-27;"Banco_1";"X";"Y"
"322";"Jorge Scott";"Jessica";2000-01-17;"Banco_1";"X";"Y"
"323";"Isaac Gonzales";"Yarabbi";2000-01-28;"Banco_1";"X";"Y"
"324";"Miriam Gonzalez";"Gabriela";2000-01-22;"Banco_1";"X";"Y"
"325";"Jorge Sanchez";"Mariah";2000-01-01;"Banco_1";"X";"Y"
"326";"Giovanni Perez";"Shawnee";2000-01-09;"Banco_1";"X";"Y"
"327";"Jesus Archuleta";"Kassandra";2000-01-30;"Banco_1";"X";"Y"
"328";"Anthony Grajeda Rivera";"Chelsea";2000-01-02;"Banco_1";"X";"Y"
"329";"Jessica Acevedo";"Jonnie";2000-01-16;"Banco_1";"X";"Y"
"330";"Marybella Aguirre";"Maria";2000-01-20;"Banco_1";"X";"Y"
"331";"Nicole Lewis";"Alyssa";2000-01-27;"Banco_1";"X";"Y"
